time,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x
20,nan,nan,nan,-0.130171,-0.173817,1.152,-0.064133,-0.173817,1.152,-0.026397,-0.051175,1.152,nan,nan,nan,-0.221503,-0.189635,1.28,-0.249456,-0.077825,1.28,-0.200539,-0.028909,1.28,-0.116681,0.033985,1.28,-0.074753,0.030491,1.28,-0.039389,0.174954,1.536,-0.068739,0.351054,1.536,-0.165598,0.037479,1.28,-0.155254,0.198809,1.408,-0.135825,0.392983,1.536,-0.771449,-0.484093,2.56,0,0,0,-0.109693,-0.290963,1.28,-0.179575,-0.283975,1.28,-0.119053,0.397176,1.536,-0.152596,0.397176,1.536,-0.135825,0.409755,1.536,-0.01996,0.380309,1.664,-0.01996,0.393936,1.664,-0.089703,0.367826,1.536
21,nan,nan,nan,-0.130171,-0.176961,1.152,-0.064133,-0.176961,1.152,-0.029542,-0.05432,1.152,nan,nan,nan,-0.221503,-0.196624,1.28,-0.270558,-0.089451,1.408,-0.193551,-0.035897,1.28,-0.116681,0.030491,1.28,-0.078247,0.023502,1.28,-0.043582,0.162375,1.536,-0.068739,0.334283,1.536,-0.165598,0.030491,1.28,-0.15141,0.191122,1.408,-0.135825,0.38879,1.536,-0.794785,-0.540189,2.816,0,0,0,-0.106199,-0.294457,1.28,nan,nan,nan,-0.119053,0.392983,1.536,-0.152596,0.392983,1.536,-0.135825,0.409755,1.536,-0.015417,0.357598,1.664,-0.01996,0.371224,1.664,-0.089703,0.351054,1.536
22,-0.869568,-0.482758,2.176,-0.144634,-0.200118,1.28,-0.064133,-0.180106,1.152,-0.036318,-0.063849,1.28,nan,nan,nan,-0.218009,-0.200118,1.28,-0.266715,-0.097138,1.408,-0.190057,-0.046379,1.28,-0.116681,0.023502,1.28,-0.078247,0.020008,1.28,-0.043582,0.153989,1.536,-0.074467,0.343971,1.664,-0.182158,0.025853,1.408,-0.15141,0.187278,1.408,-0.135825,0.384597,1.536,nan,nan,nan,0,0,0,-0.106199,-0.294457,1.28,nan,nan,nan,-0.123246,0.38879,1.536,-0.152596,0.38879,1.536,-0.135825,0.401369,1.536,-0.015417,0.339428,1.664,-0.01996,0.353055,1.664,-0.097178,0.36214,1.664
23,nan,nan,nan,-0.14114,-0.203612,1.28,-0.071259,-0.203612,1.28,-0.039812,-0.067343,1.28,nan,nan,nan,-0.214515,-0.203612,1.28,-0.262871,-0.100982,1.408,-0.186563,-0.053367,1.28,-0.116681,0.020008,1.28,-0.078247,0.016514,1.28,-0.047774,0.145603,1.536,-0.074467,0.330344,1.664,-0.178315,0.022009,1.408,-0.15141,0.179592,1.408,-0.135825,0.380405,1.536,-0.679481,-0.56325,2.816,0,0,0,-0.102705,-0.297951,1.28,nan,nan,nan,-0.123246,0.380405,1.536,-0.152596,0.384597,1.536,-0.140018,0.397176,1.536,-0.015417,0.321259,1.664,-0.01996,0.334886,1.664,-0.097178,0.348513,1.664
24,-0.794933,-0.511155,2.304,-0.14114,-0.207106,1.28,-0.071259,-0.207106,1.28,-0.039812,-0.067343,1.28,nan,nan,nan,-0.211021,-0.2106,1.28,-0.255184,-0.108669,1.408,-0.179575,-0.060355,1.28,-0.12835,0.014322,1.408,-0.089915,0.014322,1.408,-0.051967,0.137218,1.536,-0.074467,0.316717,1.664,-0.178315,0.014322,1.408,-0.160982,0.187532,1.536,-0.140018,0.372019,1.536,nan,nan,nan,0,0,0,-0.102705,-0.301445,1.28,-0.172586,-0.294457,1.28,-0.123246,0.376212,1.536,-0.148403,0.376212,1.536,-0.140018,0.38879,1.536,-0.016603,0.331297,1.792,-0.01996,0.321259,1.664,-0.097178,0.334886,1.664
25,-0.813377,-0.574938,2.56,-0.137646,-0.2106,1.28,-0.071259,-0.2106,1.28,-0.043306,-0.070837,1.28,nan,nan,nan,-0.207527,-0.214094,1.28,-0.251341,-0.112512,1.408,-0.193689,-0.074078,1.408,-0.12835,0.010479,1.408,-0.089915,0.006635,1.408,-0.05616,0.133025,1.536,-0.074467,0.307632,1.664,-0.178315,0.010479,1.408,-0.160982,0.179147,1.536,-0.140018,0.363633,1.536,-0.579551,-0.586311,2.816,0,0,0,-0.099211,-0.30494,1.28,-0.169092,-0.297951,1.28,-0.123246,0.367826,1.536,-0.148403,0.367826,1.536,-0.140018,0.380405,1.536,-0.016603,0.321513,1.792,-0.021495,0.336188,1.792,-0.097178,0.325802,1.664
26,-0.788009,-0.603685,2.688,-0.134152,-0.214094,1.28,-0.071259,-0.214094,1.28,-0.043306,-0.074331,1.28,-0.025836,0.037479,1.28,-0.204033,-0.217588,1.28,-0.247497,-0.120199,1.408,-0.189845,-0.081764,1.408,-0.12835,0.002792,1.408,-0.089915,0.002792,1.408,-0.060353,0.128832,1.536,-0.079009,0.30309,1.664,-0.174471,0.002792,1.408,-0.156789,0.170761,1.536,-0.140018,0.351054,1.536,-0.533429,-0.593998,2.816,0,0,0,-0.092223,-0.30494,1.28,-0.165598,-0.301445,1.28,-0.128974,0.384851,1.664,-0.140018,0.355247,1.536,-0.140018,0.367826,1.536,-0.021495,0.31173,1.792,-0.021495,0.326405,1.792,-0.097178,0.321259,1.664
27,-0.79073,-0.669216,2.944,-0.134152,-0.217588,1.28,-0.067765,-0.217588,1.28,-0.0468,-0.077825,1.28,-0.02933,0.033985,1.28,-0.200539,-0.221082,1.28,-0.243654,-0.124043,1.408,-0.186002,-0.089451,1.408,-0.132193,-0.001052,1.408,-0.093758,-0.001052,1.408,-0.064546,0.128832,1.536,-0.079009,0.298548,1.664,-0.174471,-0.004895,1.408,-0.152596,0.162375,1.536,-0.140018,0.338476,1.536,-0.487307,-0.601685,2.816,0,0,0,-0.088729,-0.308434,1.28,nan,nan,nan,-0.128974,0.375767,1.664,-0.135825,0.346862,1.536,-0.144211,0.355247,1.536,-0.021495,0.306838,1.792,-0.021495,0.321513,1.792,-0.097178,0.316717,1.664
28,-0.694855,-0.640119,2.816,-0.130658,-0.221082,1.28,-0.067765,-0.217588,1.28,-0.0468,-0.077825,1.28,-0.032824,0.030491,1.28,-0.193551,-0.22807,1.28,-0.261611,-0.143705,1.536,-0.182158,-0.093295,1.408,-0.132193,-0.004895,1.408,-0.093758,-0.004895,1.408,-0.068739,0.124639,1.536,-0.079009,0.294006,1.664,-0.174471,-0.008739,1.408,-0.152596,0.153989,1.536,-0.140018,0.325897,1.536,-0.441186,-0.609371,2.816,0,0,0,-0.085235,-0.308434,1.28,-0.155116,-0.308434,1.28,-0.124432,0.36214,1.664,-0.131632,0.334283,1.536,-0.144211,0.342669,1.536,-0.021495,0.301946,1.792,-0.021495,0.316621,1.792,-0.101721,0.312175,1.664
29,-0.633359,-0.647806,2.816,-0.127164,-0.224576,1.28,-0.06427,-0.221082,1.28,-0.050294,-0.081319,1.28,-0.03995,0.029696,1.408,-0.209062,-0.254721,1.408,-0.257418,-0.147898,1.536,-0.178315,-0.100982,1.408,-0.132193,-0.012582,1.408,-0.093758,-0.008739,1.408,-0.074467,0.135026,1.664,-0.079009,0.289463,1.664,-0.174471,-0.016425,1.408,-0.148403,0.141411,1.536,-0.140018,0.309126,1.536,nan,nan,nan,0,0,0,-0.089915,-0.34312,1.408,-0.166784,-0.34312,1.408,-0.11989,0.348513,1.664,nan,nan,nan,-0.144211,0.325897,1.536,-0.021495,0.297055,1.792,-0.021495,0.31173,1.792,-0.101721,0.307632,1.664
30,-0.571864,-0.647806,2.816,-0.12367,-0.22807,1.28,-0.06427,-0.224576,1.28,-0.050294,-0.084814,1.28,-0.043793,0.025853,1.408,-0.205219,-0.258564,1.408,-0.253225,-0.156284,1.536,-0.174471,-0.104825,1.408,-0.132193,-0.016425,1.408,-0.093758,-0.012582,1.408,-0.079009,0.135026,1.664,-0.083552,0.289463,1.664,-0.174471,-0.024112,1.408,-0.144211,0.133025,1.536,-0.140018,0.296547,1.536,nan,nan,nan,0,0,0,-0.086071,-0.34312,1.408,-0.148128,-0.315422,1.28,-0.115348,0.334886,1.664,-0.128974,0.330344,1.664,-0.148403,0.313319,1.536,-0.021495,0.297055,1.792,-0.021495,0.31173,1.792,-0.101721,0.307632,1.664
