,frame,Nose_x,Nose_y,Nose_z,Nose_s,Neck_x,Neck_y,Neck_z,Neck_s,Rshoulder_x,Rshoulder_y,Rshoulder_z,Rshoulder_s,Relbow_x,Relbow_y,Relbow_z,Relbow_s,Rwrist_x,Rwrist_y,Rwrist_z,Rwrist_s,Lshoulder_x,Lshoulder_y,Lshoulder_z,Lshoulder_s,Lelbow_x,Lelbow_y,Lelbow_z,Lelbow_s,Lwrist_x,Lwrist_y,Lwrist_z,Lwrist_s,Rhip_x,Rhip_y,Rhip_z,Rhip_s,Rknee_x,Rknee_y,Rknee_z,Rknee_s,Rankle_x,Rankle_y,Rankle_z,Rankle_s,Lhip_x,Lhip_y,Lhip_z,Lhip_s,Lknee_x,Lknee_y,Lknee_z,Lknee_s,Lankle_x,Lankle_y,Lankle_z,Lankle_s,Reye_x,Reye_y,Reye_z,Reye_s,Leye_x,Leye_y,Leye_z,Leye_s,Rear_x,Rear_y,Rear_z,Rear_s,Lear_x,Lear_y,Lear_z,Lear_s
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000050_s_keypoints.json,,,,0.0,0.954343,0.190357,3.5189999999999997,0.147277,1.0281512352941176,0.2504463529411765,4.05064705882353,0.0,,,,0.0,,,,0.0,0.9764208333333334,0.2412845833333333,3.5097500000000004,0.0,0.94661625,0.036743475,2.945125,0.0,0.9817376250000001,-0.08317550000000001,2.7223749999999995,0.0,1.1858499999999998,-0.25794649999999997,4.373,0.24454,0.8405530000000001,-0.46859799999999996,3.0,0.228399,0.9185989999999999,-0.8102560000000001,3.282,0.21704600000000002,0.8261,-0.20142100000000002,2.945,0.23093899999999998,0.8382149999999999,-0.477692,3.0589999999999997,0.23254499999999997,0.9187059999999999,-0.810113,3.282,0.21739,,,,0.0,,,,0.0,,,,0.0,1.0123841666666666,0.50878125,4.272666666666667,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000127_s_keypoints.json,,,,0.0,0.930683,0.23431,3.514,0.163349,1.0178414117647059,0.2500911176470588,3.9988823529411768,0.0,,,,0.0,,,,0.0,0.9839316666666666,0.23858216666666665,3.5265000000000004,0.0,0.9474705000000001,0.03441775,2.9442500000000003,0.0,0.9773132500000001,-0.08298080000000001,2.71575,0.0,1.1881,-0.271958,4.381,0.278267,0.841385,-0.47996700000000003,3.071,0.24418099999999998,0.917183,-0.819063,3.2769999999999997,0.21093699999999999,0.8240226666666667,-0.203145,2.927,0.26564899999999997,0.8415030000000001,-0.479691,3.071,0.242856,0.9316979999999999,-0.823153,3.293,0.206225,,,,0.0,,,,0.0,,,,0.0,1.0132083333333333,0.5041595,4.271333333333334,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000140_s_keypoints.json,,,,0.0,0.930866,0.22330500000000003,3.514,0.131676,1.0075315882352942,0.2497358823529412,3.947117647058824,0.0,,,,0.0,,,,0.0,0.9914425,0.23587975,3.5432500000000005,0.0,0.94832475,0.032092024999999996,2.943375,0.0,0.9728888750000001,-0.0827861,2.709125,0.0,1.19644,-0.273931,4.412,0.28649600000000003,1.0014,-0.591494,3.784,0.265592,0.8709950000000001,-0.795447,3.1830000000000003,0.227385,0.8219453333333333,-0.204869,2.909,0.262806,0.839817,-0.478662,3.065,0.24973800000000002,0.8905549999999999,-0.7942899999999999,3.218,0.207771,,,,0.0,,,,0.0,,,,0.0,1.0140325,0.49953774999999995,4.27,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000142_s_keypoints.json,,,,0.0,0.930866,0.223334,3.514,0.181528,0.9972217647058823,0.24938064705882354,3.895352941176471,0.0,,,,0.0,,,,0.0,0.9989533333333334,0.23317733333333332,3.56,0.0,0.949179,0.029766300000000002,2.9425,0.0,0.9684645000000001,-0.08259140000000001,2.7024999999999997,0.0,1.18537,-0.28506,4.371,0.2961,0.8389260000000001,-0.488005,3.062,0.290504,0.8564510000000001,-0.801259,3.1660000000000004,0.290122,0.819868,-0.20659299999999997,2.891,0.27726999999999996,0.841108,-0.4692945,3.0355,0.273481,0.840052,-0.804439,3.179,0.263131,,,,0.0,,,,0.0,,,,0.0,1.0148566666666667,0.49491599999999997,4.268666666666666,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000144_s_keypoints.json,,,,0.0,0.930751,0.234444,3.513,0.133733,0.9869119411764706,0.24902541176470588,3.8435882352941175,0.0,,,,0.0,,,,0.0,1.0064641666666667,0.23047491666666664,3.57675,0.0,0.9500332499999999,0.027440575000000002,2.9416249999999997,0.0,0.964040125,-0.08239670000000002,2.695875,0.0,1.1705,-0.244216,4.3660000000000005,0.271169,0.9783709999999999,-0.591465,3.786,0.235396,0.8826016666666667,-0.8058700000000001,3.211666666666667,0.20931999999999998,0.8289545,-0.19861849999999998,2.907,0.27670900000000004,0.842399,-0.45992700000000003,3.0060000000000002,0.25288299999999997,0.8759183333333334,-0.8088313333333333,3.2236666666666665,0.21506999999999998,,,,0.0,,,,0.0,,,,0.0,1.0156808333333334,0.49029425,4.267333333333333,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000145_s_keypoints.json,,,,0.0,0.971268,0.233233,3.502,0.148734,0.9766021176470588,0.24867017647058826,3.7918235294117646,0.0,,,,0.0,,,,0.0,1.013975,0.2277725,3.5935,0.0,0.9508874999999999,0.02511485,2.9407499999999995,0.0,0.95961575,-0.08220200000000001,2.68925,0.0,1.1859899999999999,-0.25805300000000003,4.373,0.280778,0.839867,-0.473342,3.031,0.24918,0.9087523333333334,-0.810481,3.2573333333333334,0.232474,0.838041,-0.190644,2.923,0.265598,0.8457120000000001,-0.46196000000000004,3.0180000000000002,0.24362899999999998,0.9117846666666667,-0.8132236666666667,3.2683333333333335,0.213071,,,,0.0,,,,0.0,,,,0.0,1.016505,0.48567249999999995,4.266,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000146_s_keypoints.json,,,,0.0,0.9332799999999999,0.212891,3.523,0.131641,0.966292294117647,0.2483149411764706,3.7400588235294117,0.0,,,,0.0,,,,0.0,1.0214858333333334,0.22507008333333334,3.61025,0.0,0.9517417499999999,0.022789125000000004,2.939875,0.0,0.9551913750000001,-0.0820073,2.6826250000000003,0.0,1.19225,-0.273335,4.397,0.231186,0.838773,-0.47304700000000005,3.0269999999999997,0.222708,0.934903,-0.815092,3.303,0.209146,0.8302510000000001,-0.198074,2.8960000000000004,0.224204,0.838889,-0.47261899999999996,3.0269999999999997,0.227987,0.947651,-0.817616,3.313,0.20893299999999998,,,,0.0,,,,0.0,,,,0.0,1.0173291666666666,0.48105074999999997,4.264666666666667,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000149_s_keypoints.json,,,,0.0,0.93175,0.24545,3.5180000000000002,0.19709200000000002,0.9559824705882353,0.24795970588235294,3.6882941176470587,0.0,,,,0.0,,,,0.0,1.0289966666666666,0.22236766666666666,3.6270000000000002,0.153288,0.9525959999999999,0.020463400000000003,2.9389999999999996,0.108444,0.950767,-0.08181260000000001,2.676,0.13763599999999998,1.18556,-0.2727346666666667,4.389,0.289577,0.841335,-0.473999,3.036,0.28288,0.8724149999999999,-0.796912,3.188,0.276885,0.9527173333333334,-0.22704933333333333,3.3863333333333334,0.266523,0.845827,-0.46191800000000005,3.0180000000000002,0.27121799999999996,0.919334,-0.8209200000000001,3.285,0.253106,,,,0.0,,,,0.0,,,,0.0,1.0181533333333332,0.476429,4.263333333333334,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000150_s_keypoints.json,,,,0.0,0.93281,0.245937,3.5210000000000004,0.23839699999999997,0.9456726470588235,0.2476044705882353,3.636529411764706,0.0,,,,0.0,,,,0.0,1.0365075,0.21966524999999998,3.64375,0.0,0.9509123333333332,0.02042611666666667,2.933833333333333,0.0,0.95299625,-0.08188300000000001,2.6765,0.0,1.17887,-0.2721343333333333,4.381,0.290598,0.845835,-0.461984,3.0180000000000002,0.259235,0.9436700000000001,-0.802279,3.335,0.230057,1.0751836666666668,-0.2560246666666667,3.876666666666667,0.26860500000000004,0.845844,-0.461771,3.0180000000000002,0.257676,0.9443889999999999,-0.792515,3.3369999999999997,0.231317,,,,0.0,,,,0.0,,,,0.0,1.0189775,0.47180725,4.2620000000000005,0.0,
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000151_s_keypoints.json,,,,0.0,0.921855,0.24541300000000002,3.5210000000000004,0.230265,0.9353628235294118,0.24724923529411766,3.584764705882353,0.0,,,,0.0,,,,0.0,1.0440183333333333,0.21696283333333333,3.6605,0.0,0.9492286666666666,0.020388833333333335,2.9286666666666665,0.0,0.9552255000000001,-0.08195340000000001,2.677,0.0,1.17218,-0.271534,4.373,0.325241,0.839784,-0.473433,3.031,0.346948,0.8447319999999999,-0.789614,3.159,0.309658,1.19765,-0.285,4.367,0.27571999999999997,0.952292,-0.590004,3.7760000000000002,0.29334899999999997,0.8053319999999999,-0.810058,3.321,0.289692,,,,0.0,,,,0.0,,,,0.0,1.0198016666666667,0.46718550000000003,4.260666666666666,0.0,
