Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0.08,1.828104326,396.4947215,1.64E-14,-206.0916998,417.4370144,-93.31717681,156.7605387,439.9176523,-57.05778361,-252.655361,65.51317152,-77.08359387,-296.0378225,-53.5998187,116.861997,248.8571647,85.66515109,-47.46982002,285.0224495,-7.166541699,139.2059351,-176.1881311,-0.812344446,1.49E-15,176.1881311,0.812344446,-1.49E-15,-32.12642073,-492.1782093,124.2714266,-71.49401293,-873.627477,68.40721846,42.06184379,-472.0996437,145.9550064,114.7529913,-850.456599,115.2005,-16.28942454,703.9734836,-92.20393804,0,0,0
0.084,1.946849628,396.5839492,-1.25E-14,-206.1131827,417.6511622,-92.84548457,156.805922,439.9599586,-57.25744796,-252.7732251,65.57723748,-75.87293045,-295.9600024,-53.27838172,118.3655054,248.8887987,85.60430481,-47.98588744,285.5219303,-6.936441487,138.6929422,-176.222493,-0.86508467,-7.87E-16,176.222493,0.86508467,7.87E-16,-31.74685599,-492.0884638,124.5423522,-71.00392165,-873.4648807,69.01001019,42.64325266,-471.7874277,146.5898996,115.5680642,-850.1451156,115.8224845,-16.33101095,703.9425835,-92.70396762,0,0,0
0.088,2.063077687,396.6803046,1.78E-14,-206.1478819,417.8275428,-92.38038581,156.8512074,440.0012862,-57.48452775,-252.9165905,65.69963725,-74.60937653,-295.8516481,-52.8966708,119.9699043,248.8961512,85.57007585,-48.46374905,286.0289797,-6.686434052,138.2085808,-176.246735,-0.916634131,-6.87E-17,176.246735,0.916634131,6.87E-17,-31.36693396,-491.9521322,124.9097115,-70.51507158,-873.2898959,69.74750823,43.21108445,-471.4738044,147.2774891,116.367386,-849.8182084,116.5594734,-16.36939912,703.9053732,-93.23949208,0,0,0
0.092,2.176422647,396.7776037,3.73E-15,-206.1886657,417.9578811,-91.93106013,156.9004191,440.035957,-57.74305182,-253.0930438,65.86493267,-73.28707227,-295.7145081,-52.44383622,121.6775428,248.8826113,85.55798571,-48.89242726,286.5321802,-6.421292639,137.7559934,-176.2590107,-0.966823982,-1.40E-15,176.2590107,0.966823982,1.40E-15,-30.99518872,-491.7765271,125.3711637,-70.03273761,-873.1135863,70.61644267,43.75044255,-471.1710273,148.0149229,117.1399071,-849.48322,117.4062219,-16.40026838,703.8610612,-93.81034542,0,0,0
0.096,2.286687457,396.866511,1.25E-14,-206.2261613,418.0421594,-91.50178164,156.9573519,440.058606,-58.02996093,-253.3174998,66.06022372,-71.90486222,-295.5525048,-51.91651745,123.4813976,248.8540236,85.55912991,-49.26814851,287.0206872,-6.143494769,137.3372879,-176.2581576,-1.015574021,1.00E-15,176.2581576,1.015574021,-1.00E-15,-30.63883496,-491.5660311,125.9134979,-69.5642114,-872.94442,71.59901948,44.24574298,-470.8928439,148.788195,117.8739877,-849.1501351,118.3432514,-16.41872801,703.8118423,-94.40829302,0,0,0
0.1,2.390924491,396.9359445,1.06E-14,-206.2537576,418.0863553,-91.0945007,157.0207722,440.0667709,-58.33348498,-253.6127072,66.27064457,-70.45955032,-295.3703493,-51.31750867,125.3656468,248.8149288,85.56821501,-49.59365634,287.4869569,-5.849941579,136.9567713,-176.2438184,-1.061596128,1.01E-15,176.2438184,1.061596128,-1.01E-15,-30.29870969,-491.3272435,126.5139265,-69.10752643,-872.7866346,72.66545205,44.6890325,-470.6521215,149.5754356,118.5676183,-848.8287757,119.3418708,-16.42626568,703.7613885,-95.02117334,0,0,0
0.104,2.481970105,396.9752348,7.24E-16,-206.2714433,418.1022561,-90.71208931,157.0823599,440.0609182,-58.63631032,-254.0007322,66.48280476,-68.95228348,-295.1746627,-50.65184291,127.3082775,248.7695241,85.58455172,-49.86771406,287.9257075,-5.533425112,136.623354,-176.2181558,-1.101751838,-1.34E-15,176.2181558,1.101751838,1.34E-15,-29.96823559,-491.0689602,127.1461229,-68.64751162,-872.6408134,73.78167772,45.0835755,-470.4574378,150.355484,119.2315647,-848.5269931,120.3736958,-16.4336622,703.7122678,-95.63796642,0,0,0
0.108,2.549863985,396.977206,3.22E-15,-206.2848711,418.1043532,-90.3580645,157.1275849,440.0424098,-58.91914217,-254.4953819,66.69024274,-67.39658665,-294.9753743,-49.92465023,129.2847579,248.7223974,85.61095741,-50.08423191,288.3331777,-5.187573906,136.3474815,-176.1843402,-1.131667252,7.50E-16,176.1843402,1.131667252,-7.50E-16,-29.6354306,-490.8008754,127.784407,-68.1585035,-872.5070034,74.91266607,45.44272456,-470.311897,151.1124803,119.8870178,-848.2509804,121.4129527,-16.4583566,703.6637377,-96.24930814,0,0,0
0.112,2.585775269,396.9375754,1.14E-15,-206.2997377,418.1051624,-90.0347573,157.142401,440.0106569,-59.16436045,-255.0999853,66.89255655,-65.81624191,-294.7871918,-49.14279135,131.2705347,248.6767057,85.65018949,-50.2423895,288.7066497,-4.812220454,136.138221,-176.1446715,-1.147461373,1.05E-15,176.1446715,1.147461373,-1.05E-15,-29.29027195,-490.5336367,128.4058193,-67.61534531,-872.3868527,76.02482936,45.78363163,-470.214548,151.8358668,120.5557732,-848.0061986,122.4371182,-16.51597145,703.6117139,-96.84770986,0,0,0
0.116,2.588515959,396.8569095,-1.55E-14,-206.3162632,418.1103407,-89.74355108,157.1220271,439.964043,-59.36083891,-255.8071447,67.09334599,-64.23771894,-294.6290631,-48.32120173,133.2402136,248.6341547,85.70306964,-50.35288213,289.0453066,-4.410718775,136.0027918,-176.0991499,-1.148614145,-5.58E-16,176.0991499,1.148614145,5.58E-16,-28.93176427,-490.2787953,128.9937172,-67.00774312,-872.2828708,77.0934851,46.11842387,-470.1597071,152.5205214,121.2466084,-847.7965523,123.4317797,-16.61000154,703.5482332,-97.43057255,0,0,0
0.12,2.564799324,396.7418958,-1.16E-14,-206.3303058,418.1159499,-89.48952958,157.0717235,439.9004357,-59.50680144,-256.6015548,67.29700898,-62.68820117,-294.520663,-47.48190646,135.1684359,248.5984473,85.76746637,-50.42999218,289.3504326,-3.985159059,135.9471998,-176.0466657,-1.138080888,-8.41E-16,176.0466657,1.138080888,8.41E-16,-28.5649883,-490.0486927,129.5407475,-66.34091619,-872.197643,78.11221847,46.45206966,-470.1351382,153.1691199,121.9541696,-847.6231955,124.3984109,-16.73140847,703.4625649,-98.00428886,0,0,0
0.124,2.523927292,396.6041337,1.35E-14,-206.3378192,418.1131289,-89.28158392,157.0008554,439.8191668,-59.60792938,-257.4573812,67.50600742,-61.19624963,-294.472393,-46.64131552,137.0381062,248.5773965,85.84007162,-50.48013476,289.6250603,-3.532800613,135.976297,-175.9867203,-1.119952236,-3.38E-17,175.9867203,1.119952236,3.38E-17,-28.19332451,-489.8551657,130.0474443,-65.62578361,-872.1325014,79.09340846,46.7863592,-470.1242531,153.791521,122.6689636,-847.4836401,125.3541324,-16.86651054,703.3441879,-98.58389014,0,0,0
0.128,2.47385583,396.456477,1.09E-14,-206.3366397,418.094166,-89.12616138,156.9168077,439.7221967,-59.67269245,-258.3333573,67.71564485,-59.78195981,-294.4771165,-45.80010901,138.8469358,248.5820096,85.91962326,-50.5033203,289.8736889,-3.043703914,136.0943201,-175.9211444,-1.097733481,8.16E-16,175.9211444,1.097733481,-8.16E-16,-27.81553701,-489.7084811,130.5179866,-64.86968473,-872.0861376,80.05957301,47.1228333,-470.1106906,154.401054,123.3866253,-847.3709161,126.3230898,-17.00547333,703.1874753,-99.18541232,0,0,0
0.132,2.420013708,396.3104148,-5.61E-15,-206.326023,418.0580047,-89.02156924,156.8224891,439.6134536,-59.71171762,-259.1801639,67.9131222,-58.44587197,-294.5087111,-44.9433633,140.6078787,248.6241254,86.00717343,-50.50431256,290.1023647,-2.502864508,136.3024546,-175.852316,-1.07381739,3.17E-15,175.852316,1.07381739,-3.17E-15,-27.42981957,-489.6183586,130.9566387,-64.07470912,-872.0544522,81.03395867,47.46285312,-470.0819527,155.0090047,124.1093121,-847.2743324,127.3271749,-17.14516966,702.9938993,-99.82171026,0,0,0
0.136,2.366400257,396.1750818,-2.26E-14,-206.3065966,418.0093309,-88.95823532,156.7179626,439.5001372,-59.73633566,-259.9616874,68.08678861,-57.17433676,-294.5322616,-44.04956299,142.3430941,248.7161319,86.10636766,-50.49562088,290.3193247,-1.893835295,136.5977915,-175.782305,-1.049968337,-3.54E-20,175.782305,1.049968337,3.54E-20,-27.03282791,-489.5874976,131.3679769,-63.23712591,-872.031294,82.03591781,47.8091735,-470.0291248,155.6229709,124.8458367,-847.1805726,128.3810752,-17.28747044,702.7709325,-100.500703,0,0,0
