Time,R11,R12,R13,R21,R22,R23,R31,R32,R33
0.8,0.991167848239702,0.05886745951191439,0.1188314723736613,-0.05813238607320086,0.9982622832676165,-0.009645698251632152,-0.11919279468707589,0.002652548951167115,0.9928675851687103
0.804,0.9912356720425582,0.05883534951986804,0.11828036234816341,-0.0581078110980014,0.9982642197787898,-0.00959321629294653,-0.1186394738682571,0.002636125247258236,0.9929338981442541
0.8079999999999999,0.9913082178627807,0.058824434984285065,0.11767626373444054,-0.05810285939928068,0.9982648641189173,-0.00955608681768215,-0.11803421083459409,0.0026356999865836312,0.9930060312798887
0.812,0.9913844091707128,0.058867683170751,0.1170108932165929,-0.05815087482195623,0.9982622847398127,-0.009533447618276718,-0.11736877357575994,0.0026470255301618215,0.9930848726293059
0.816,0.9914616058672219,0.058993943554073794,0.11629100874585434,-0.05828099645231399,0.9982547816030205,-0.00952451884513607,-0.11664994446511742,0.0026656388811580737,0.9931695146477464
0.82,0.9915344644417379,0.05923076553546932,0.11554705638101825,-0.05852096479233895,0.9982407031839584,-0.009528650826334098,-0.1159081640955881,0.0026860604756095315,0.9932563025599745
0.8240000000000001,0.991595583051745,0.0596047346329416,0.11482802480930737,-0.05889744034141162,0.9982183995770336,-0.009545588881561026,-0.11519240944393927,0.0027022870318554465,0.9933395222436774
0.828,0.9916386330313387,0.060127529536563924,0.1141818797864503,-0.05942204303864564,0.9981870237347679,-0.009575304101666186,-0.1145506101286724,0.002710320895331717,0.993413716373895
0.8320000000000001,0.9916608673057028,0.060803081570636804,0.11362970353748114,-0.060098580599672914,0.9981461039742442,-0.00961850980879704,-0.11400388091817745,0.0027093158826158336,0.9934766100633885
0.836,0.9916631115957892,0.06163238362598095,0.11316237178822892,-0.06092800788377146,0.9980952647178332,-0.0096757636987316,-0.11354316780622475,0.0027003400560902733,0.9935293942345687
0.84,0.9916487980873229,0.06260082164251993,0.11275548049496047,-0.061895939746164544,0.9980350352688749,-0.00974479444600136,-0.11314395209160395,0.0026843072732193616,0.9935749798578645
0.8440000000000001,0.9916231750909275,0.06364218933418198,0.11239728804263838,-0.06293635286675889,0.9979692243729168,-0.009820524036405147,-0.1127940340196169,0.002664383844518618,0.9936148182008512
0.848,0.9915920455384144,0.06464822495965622,0.1120973783569833,-0.06394088873184599,0.9979046056954537,-0.00989750877659389,-0.11250234652274892,0.002646684976861634,0.9936479341726165
0.852,0.9915579397108367,0.06552884648763417,0.1118875438750936,-0.06481919152974214,0.99784719415813,-0.00997243802578222,-0.11230015407750571,0.0026357899665065045,0.9936708348368795
0.856,0.9915194523231156,0.06625256770836348,0.11180238341340348,-0.065539599768817,0.9977994143964563,-0.010044376149483744,-0.11222181840895398,0.0026317108765491985,0.9936796956619622
0.86,0.9914723607755381,0.06684693469796618,0.1118661930149901,-0.06612968206554116,0.9977597753383678,-0.010114141913203542,-0.11229168699459288,0.0026302163819389773,0.9936718064802345
0.8640000000000001,0.9914103231696522,0.06739184233881855,0.11208885180438613,-0.06666974330192812,0.9977231404113864,-0.010182358061661356,-0.11251984909650752,0.0026219599197345113,0.993646017898466
0.868,0.9913274087666073,0.06798016383334023,0.11246628807458767,-0.06725312831490977,0.9976832912934133,-0.010250219792798297,-0.11290254806664995,0.002597614123501075,0.9936026706087918
0.872,0.9912226786238764,0.06865532307625505,0.11297808634864749,-0.06792325866662019,0.9976371642216301,-0.010320828258029756,-0.11341971748252072,0.002556399248822316,0.9935438754826411
0.8759999999999999,0.9910998613686628,0.06939108404361709,0.1136043232023731,-0.06865331854214346,0.997586384524046,-0.010398426101749647,-0.1140516841093044,0.00250656487931922,0.9934716556018784
0.88,0.9909638713764436,0.07014292777598215,0.11432661680302046,-0.06939815998438534,0.9975339240807543,-0.010486453110265134,-0.11478022920953325,0.002457639327786353,0.9933878693599704
0.884,0.990818689398388,0.07089268084436644,0.11511973133029665,-0.07013930757785324,0.9974810243681044,-0.010586952255334245,-0.1155802849596772,0.0024153319142980805,0.9932952048109281
0.888,0.9906699749797474,0.0716413212203955,0.115933264283478,-0.070877967769496,0.99742761510274,-0.010698893182318862,-0.11640152214852235,0.0023819580719420027,0.993199381754364
0.892,0.9905269644479178,0.07238669782719939,0.11668975396009447,-0.07161273907475102,0.9973738540967911,-0.01081715148847963,-0.1171663275169333,0.0023582073248158645,0.9931095058221968
0.8959999999999999,0.9904004577248261,0.0731238050274986,0.11730235494974188,-0.07233955216603977,0.9973201152103299,-0.010935126394840696,-0.11778761620336697,0.0023445543616428875,0.9930360419108532
0.9,0.9902984237017469,0.07386245157575844,0.11770034095555537,-0.07306889121910438,0.9972656892184103,-0.011049083389127813,-0.11819462403106978,0.002341656453869459,0.9929876874841934
0.904,0.9902248517768775,0.07461361412409408,0.11784545604647578,-0.0738120279795287,0.9972097490917261,-0.011157994531554973,-0.11834917595408233,0.0023505113821734426,0.9929692581581929
0.908,0.9901807422614562,0.07536435736901823,0.1177383170123757,-0.07455595519624474,0.9971532390018772,-0.011261771301204131,-0.11825188032047235,0.002373096378149131,0.9929807959946922
0.912,0.9901651219229887,0.076077714463382,0.11741044540099893,-0.0752632586651051,0.9970989712812192,-0.011361486040303723,-0.11793419021785971,0.002413054488123088,0.9930184811702626
0.916,0.9901745098098845,0.07671789680132013,0.11691366230315839,-0.07589740640397016,0.9970497688723111,-0.011460457792853757,-0.11744796219562752,0.0024744094352365026,0.9930759555411868
0.92,0.9902039068124299,0.07725366669676405,0.11631033451635372,-0.076426516017166,0.9970081860548883,-0.011561340277807152,-0.11685551156397667,0.0025588906671965036,0.9931456295507093
0.924,0.9902473375923938,0.07765531058173333,0.1156713582942208,-0.07682057209846178,0.9969767074581751,-0.011663811054768209,-0.11622740680941182,0.002664117923596756,0.9932190555874614
0.928,0.9902975774801778,0.07789044978304159,0.11508164870858724,-0.07704721348488988,0.9969580387219538,-0.011764179609693275,-0.11564789203052948,0.0027833182122773315,0.9932863727086082
0.932,0.9903445726091141,0.07792915707596117,0.11465022451395988,-0.07707639916801859,0.9969546587746791,-0.01185904881326107,-0.11522524113649533,0.0029077181591787367,0.9933351342724889
0.936,0.9903773917069281,0.0777465612723022,0.1144905856658715,-0.07688285963944792,0.9969685514968832,-0.011947100898028232,-0.11507235936332864,0.003029774998061312,0.9933524916030654
0.94,0.9903902187734333,0.0773373846270177,0.11465663302645669,-0.07646100303083288,0.9970000154795237,-0.012028472444516882,-0.11524291550212448,0.00314612029049429,0.993332357448245
0.944,0.9903836057496364,0.07674442692913151,0.11511127832522815,-0.07585382982537488,0.9970454815462854,-0.012103893132339588,-0.11570008627123841,0.003255866006951523,0.9932788578105208
0.948,0.9903592827049985,0.07605357846874755,0.11577713229363872,-0.07514780636900155,0.9970980816128823,-0.012174680358721858,-0.11636708451262202,0.0033569101876657743,0.9932006004811034
0.952,0.9903153291845346,0.07537665780549514,0.11659291676684519,-0.07445542578541936,0.9971491881582445,-0.012242798963709701,-0.11718335356713044,0.003443256224446832,0.9931043276682131
0.956,0.9902470305114563,0.07484105671066059,0.11751440249464869,-0.07390480618352224,0.9971893129014071,-0.012310721270332304,-0.11810545366840021,0.003505776041261353,0.9929948697491493
0.96,0.9901525626169707,0.07455035424332103,0.11849112804442836,-0.07360020869372692,0.9972109751653064,-0.012380641748246294,-0.11908363457371303,0.0035377524014436734,0.9928779241601963
0.964,0.9900383597755342,0.07453621463230875,0.11945040343697572,-0.07357380882213693,0.9972120222671076,-0.012453003707914948,-0.1200455781291985,0.0035405302190635803,0.9927620680794539
0.968,0.9899163315608152,0.07476122020394257,0.1203179806296463,-0.07378842596698618,0.9971952439496876,-0.012526517370668969,-0.12091701576905102,0.0035221297166175207,0.992656370502787
0.972,0.9897966130879335,0.07516115398455847,0.12105149999634442,-0.07417981342919544,0.9971652885044624,-0.0125993127361015,-0.12165533280241045,0.0034911793883758506,0.9925662656302666
0.976,0.989684978205922,0.07568323332071171,0.12163754398896033,-0.07469499457731657,0.997125928825277,-0.012670432093003137,-0.12224688829838654,0.003454020621169928,0.9924937118404883
0.98,0.9895849563071706,0.07629381966943842,0.12206910883095051,-0.07530010536737822,0.997079529330049,-0.012739949867633316,-0.12268458901670155,0.003415445976044924,0.9924398351268391
0.984,0.9894998108724036,0.07696798826621067,0.12233582086098142,-0.07597003468470806,0.9970278360708641,-0.012808119684582736,-0.12295803395257235,0.0033797754515347334,0.9924061159648379
0.988,0.9894326399516231,0.07767463714783704,0.12243243745965958,-0.0766733499561447,0.9969731251199191,-0.01287575998240946,-0.12306196977484216,0.0033523920674505803,0.9923933257849742
0.992,0.9893846954305393,0.07837601714724247,0.122372890723207,-0.07737175511392239,0.9969182774456725,-0.012944481656072338,-0.12301030834206554,0.003338866707180578,0.9923997763052457
0.996,0.9893542270726998,0.07904096874734112,0.12219140163228558,-0.07803341247537092,0.9968657621488229,-0.013016865709342029,-0.12283729039192173,0.0033432790682593593,0.9924211921227006
1.0,0.9893385510177845,0.07964777737428683,0.12192400513995143,-0.07863613614558483,0.9968173821905603,-0.013094451300139106,-0.1225789115717867,0.003367212808052361,0.9924530579910474
1.004,0.9893354095650996,0.08019682772415984,0.12158912864083811,-0.0791802566588176,0.9967732165934267,-0.013177315259092645,-0.12225356573982052,0.003409326176119308,0.9924930438844013
1.008,0.9893417295378023,0.08072109617899831,0.12119012677116374,-0.07969919231524658,0.9967307091775751,-0.013263940842206865,-0.1218646008463786,0.0034638149530719434,0.99254068986945
1.012,0.9893524014833199,0.0812801128422899,0.12072849264168091,-0.08025348998878432,0.9966850866480901,-0.013349734001453784,-0.12141335603551975,0.0035187085179216697,0.9925957967201746
1.016,0.9893615394568404,0.0819475875913527,0.1202012359817843,-0.0809182399023562,0.9966302871392837,-0.0134279264137765,-0.12089657850698565,0.0035586014987133347,0.9926587297055709
1.02,0.9893642251690031,0.08279084373033452,0.11959977487502893,-0.08176199573799155,0.9965605498780444,-0.013492460105934535,-0.12030546957091735,0.003570241054734745,0.9927305008763114
1.024,0.9893573142303149,0.08384602558486173,0.11891992588544852,-0.08282160605015441,0.9964724128525472,-0.013539276018154911,-0.11963563996673766,0.0035460425047464817,0.9928115325842582
1.028,0.9893382186010149,0.0851163221127536,0.1181740281338011,-0.0841004230890474,0.9963649335825562,-0.013566059238839103,-0.11889915076069159,0.003482935116599255,0.9929002271685509
1.032,0.9893044453576665,0.08656262725650704,0.11740368800855851,-0.08555869295922565,0.9962406647223161,-0.013573798758884469,-0.1181373118649179,0.0033837133579497996,0.9929915035030472
1.036,0.9892548926040645,0.0880961521723709,0.11667829888776833,-0.08710611446940322,0.9961066471067964,-0.013567328834356235,-0.11741925856078358,0.0032581531699419127,0.993077087721269
1.04,0.9891920093096235,0.08960180284336304,0.11606328293309937,-0.08862593809280765,0.9959727842362672,-0.013551979849004556,-0.11681015287704836,0.00311929284888346,0.9931493634881732
1.044,0.9891221227051106,0.09096934555057387,0.11559413715857915,-0.09000688784592273,0.9958492397832481,-0.013529662354182966,-0.11634511814265183,0.0029782198083744362,0.9932043816310646
1.048,0.9890539239075985,0.09210925997838065,0.11527454111475553,-0.09115905346440181,0.9957448475969756,-0.013499090915699967,-0.11602742164874953,0.0028430107827940856,0.9932419416814979
1.052,0.9889944164097054,0.09296164341092077,0.1151007261695902,-0.09202231353306055,0.9956659767762248,-0.013459439151363778,-0.11585308853219789,0.002719475057243982,0.9932626371373101
1.056,0.9889470556338521,0.09349633059523427,0.11507457285760972,-0.09256632482212146,0.9956162012133074,-0.013411017504592386,-0.1158239900109652,0.002610755984316308,0.9932663224388161
1.06,0.9889119883425977,0.0937126091865088,0.11519994006832923,-0.09279034511730888,0.9955961089957532,-0.013354385254554525,-0.11594408637485869,0.002516869478741015,0.9932525530814035
1.064,0.9888887575227332,0.09362770041723313,0.11546808632572902,-0.09271183812281186,0.9956042986927635,-0.013288923823252467,-0.1162047344863138,0.0024360088406085254,0.9932222941234725
1.068,0.9888777145665492,0.09326948062838815,0.11585192970749011,-0.09235921851037694,0.9956380913282418,-0.01321233712891498,-0.11657890199256016,0.0023653920534212995,0.9931786166297796
1.072,0.9888798303245132,0.09268461932676622,0.11630237537391232,-0.0917799628310488,0.9956928568471692,-0.013121480337751082,-0.11701760380427072,0.002301339561021368,0.993127174251179
1.0759999999999998,0.9888964226365122,0.0919369335498657,0.1167538673713053,-0.09103891500388912,0.9957623145516318,-0.01301264284040138,-0.1174554436866313,0.002239010545927943,0.9930756293355264
1.08,0.9889283957859871,0.09110600255898538,0.11713378806252372,-0.09021674115059569,0.9958388303297827,-0.012882686970376745,-0.11782006460837002,0.0021726263214022746,0.9930325835895553
1.084,0.9889739317565542,0.09028031861995654,0.11738835707114033,-0.0894025512477613,0.9959141855996277,-0.01273258621890245,-0.11805823197208158,0.0020973772453941482,0.9930044586366753
