Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.104,94.46283,11.774845,385.39261,22.63751,-200.471805,431.24429,39.63214,164.357235,438.55081,-37.50549,-255.327275,85.47476,127.11127,-289.851565,-74.47434,-41.21344,248.017515,90.68082,115.85132,293.843625,-43.07358,9.11957,-175.970585,2.00626,-9.11957,175.970585,-2.00626,7.88733,-35.378355,-506.67993,-132.73151,-85.470215,-863.72232,31.31177,41.142945,-493.52841,-91.80273,104.896795,-854.73201,75.81091,-4.473995,706.41653,0,0,0
0.108,94.54904,11.79837,385.37278,22.95987,-200.46646,431.1987,39.53873,164.37912,438.55991,-36.0488,-255.71634,85.37168,129.00986,-289.62198,-74.21292,-41.25375,247.98825,90.71799,115.80356,294.17203,-42.76175,9.01065,-175.94229,2.0101,-9.01065,175.94229,-2.0101,8.42422,-35.03226,-506.57428,-131.86227,-84.87448,-863.82998,31.97971,41.50388,-493.59073,-90.88663,105.63223,-854.72915,75.35641,-4.55008,706.50364,0,0,0
0.112,94.61365,11.802185,385.31598,23.25476,-200.458315,431.14557,39.45276,164.380795,438.55939,-34.54596,-256.219175,85.24078,130.9574,-289.392275,-73.9173,-41.25763,247.960755,90.76923,115.80695,294.482235,-42.41351,8.91913,-175.907165,2.01587,-8.91913,175.907165,-2.01587,8.96338,-34.679385,-506.46744,-130.98212,-84.248715,-863.95614,32.61725,41.841675,-493.6875,-89.97375,106.361265,-854.74803,74.89301,-4.643555,706.58588,0,0,0
0.116,94.649845,11.790895,385.224335,23.523015,-200.444335,431.091525,39.370855,164.361635,438.545385,-33.013305,-256.830075,85.091765,132.939455,-289.177245,-73.592555,-41.246825,247.934935,90.836645,115.856445,294.778135,-42.032435,8.852175,-175.864865,2.024565,-8.852175,175.864865,-2.024565,9.495665,-34.321655,-506.366265,-130.098325,-83.593075,-864.099255,33.226625,42.167545,-493.811525,-89.069575,107.084415,-854.790545,74.409795,-4.751645,706.656105,0,0,0
0.12,94.659545,11.770235,385.104095,23.765325,-200.423735,431.035495,39.290465,164.323825,438.514125,-31.469355,-257.535675,84.937225,134.934995,-288.993315,-73.251435,-41.242615,247.911835,90.919765,115.948735,295.064245,-41.624355,8.813965,-175.814115,2.034575,-8.813965,175.814115,-2.034575,10.010745,-33.959745,-506.280635,-129.217585,-82.908115,-864.259365,33.810485,42.492345,-493.951995,-88.178225,107.802215,-854.858685,73.899535,-4.870575,706.705295,0,0,0
0.124,94.65265,11.746125,384.9646,23.98273,-200.397795,430.97278,39.21161,164.271395,438.46386,-29.93634,-258.311865,84.7893,136.92719,-288.848485,-72.90491,-41.25464,247.897185,91.01501,116.08319,295.345485,-41.19306,8.8064,-175.754365,2.04358,-8.8064,175.754365,-2.04358,10.49664,-33.590735,-506.22202,-128.34405,-82.194615,-864.43736,34.37146,42.825345,-494.09635,-87.30139,108.515835,-854.95354,73.35883,-4.995635,706.72546,0,0,0
0.128,94.641935,11.72473,384.815765,24.179785,-200.36712,430.899625,39.136625,164.20874,438.395355,-28.432585,-259.1181,84.651705,138.913305,-288.73382,-72.552765,-41.283105,247.90119,91.118745,116.262785,295.6272,-40.736845,8.829985,-175.68744,2.050325,-8.829985,175.68744,-2.050325,10.941565,-33.21014,-506.201325,-127.477815,-81.45349,-864.633055,34.912815,43.17237,-494.233465,-86.437465,109.22748,-855.073445,72.789035,-5.12219,706.713225,0,0,0
0.132,94.638975,11.711795,384.666405,24.366575,-200.329895,430.817285,39.067385,164.139035,438.311555,-26.963565,-259.904115,84.515895,140.904485,-288.622745,-72.182775,-41.329225,247.936035,91.230005,116.492855,295.914615,-40.248815,8.883115,-175.615785,2.055085,-8.883115,175.615785,-2.055085,11.334965,-32.817385,-506.228855,-126.616455,-80.686155,-864.843995,35.436955,43.534245,-494.355505,-85.582455,109.939635,-855.213225,72.194455,-5.246885,706.671655,0,0,0
0.136,94.652375,11.713625,384.52362,24.556485,-200.281865,430.73187,39.005335,164.065915,438.2182,-25.524385,-260.631225,84.37237,142.918365,-288.481935,-71.77643,-41.398285,248.015505,91.35065,116.779505,296.213195,-39.72052,8.961825,-175.541625,2.05969,-8.961825,175.541625,-2.05969,11.671175,-32.414735,-506.30798,-125.756385,-79.894105,-865.0654,35.945765,43.908205,-494.45728,-84.731665,110.654965,-855.36475,71.580965,-5.365905,706.60907,0,0,0
0.14,94.686915,11.73602,384.39429,24.761805,-200.21997,430.6521,38.954005,163.99579,438.12268,-24.108795,-261.28797,84.22363,144.965975,-288.2876,-71.31817,-41.494605,248.15362,91.4834,117.128625,296.52795,-39.14368,9.061065,-175.46741,2.06702,-9.061065,175.46741,-2.06702,11.955105,-32.0022,-506.42447,-124.893405,-79.07929,-865.29056,36.441375,44.28918,-494.53546,-83.879735,111.37616,-855.51797,70.954865,-5.47455,706.53674,0,0,0
