Time,LegRFlex,LegRAdd,LegRRot,LegRKnee,LegLFlex,LegLAdd,LegLRot,LegLKnee
0.4,31.501125052449794,41.26478689516517,4.46233803085226,29.655982329630643,38.65590552839147,41.46317541420043,-9.50237856910707,41.109341232740455
0.404,31.75940981570128,40.9977570282185,4.587176723180275,29.74082229994548,38.79180834165787,41.1994136384067,-9.346815019937509,41.33906100743272
0.408,32.01799323800044,40.71084627906004,4.708495838017419,29.829631272166782,38.946092627444244,40.95738954435373,-9.214718224576885,41.55206659058523
0.412,32.27760230690903,40.398558071280135,4.823712032019473,29.924745129918286,39.12998382224059,40.75422755780131,-9.123414036087958,41.740923467903
0.416,32.54156612491706,40.058892596960895,4.932633213310835,30.03089998094763,39.34154589622541,40.58873292450489,-9.069552582803205,41.903801241471875
0.42,32.81213896288099,39.68972220126345,5.034573200429133,30.153393202016673,39.58543369462556,40.471856895308896,-9.061726483843994,42.035085992974324
0.424,33.09147344918799,39.29272431013889,5.130710501507472,30.29533843256672,39.86212545657393,40.40969282033792,-9.104183411361019,42.131279590020235
0.428,33.37930963359554,38.86872589634579,5.220557877857436,30.457794863816638,40.1702477448331,40.40332186352394,-9.197810370115365,42.18878744794363
0.4320000000000001,33.67575102540796,38.42003459840434,5.303961422488438,30.64203544179514,40.50741161988943,40.44935926477645,-9.341970444663243,42.207082844966145
0.436,33.980109849211985,37.94814110755477,5.380004488413641,30.847512831542353,40.870255609489995,40.54044478318842,-9.53336275651905,42.18729144854788
0.44,34.292165536689815,37.45446521226726,5.447439022741307,31.073018791867707,41.254803531803866,40.66430452282259,-9.766015090722373,42.13455636367874
0.444,34.612096962206955,36.942208175191304,5.506185519737648,31.316569263284098,41.65822993147111,40.80870691620426,-10.033880424637951,42.05725807051479
0.448,34.9400355265185,36.413881819861814,5.555389610447328,31.576838833726185,42.07659988682184,40.96157743227063,-10.329549534300321,41.964877081206225
0.452,35.27522297657315,35.87070074536463,5.593631202513709,31.853089472239386,42.504289135703885,41.110995915634085,-10.643406399394765,41.86710529006798
0.456,35.61620345904086,35.31135102862302,5.618301266958627,32.14492881487541,42.935531239028926,41.24731720084114,-10.965877876986712,41.772886480097
0.46,35.96238056429711,34.734524955933,5.628309852599768,32.45318781963235,43.36433872736879,41.36139373340146,-11.286215182370173,41.69048388037083
0.464,36.3130023215611,34.136573947732124,5.6216833528945225,32.77776876543596,43.78479595142517,41.442948469416905,-11.593078277187276,41.62691138077942
