Frame#,sternumU,,,shoulderR,,,shoulderL,,,elbowRin,,,wristRin,,,elbowLin,,,wristLin,,,pvsR,,,pvsL,,,kneeRin,,,heelR,,,kneeLin,,,heelL,,,headT,,,pvCenter,,
Time,X3,Y3,Z3,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X9,Y9,Z9,X13,Y13,Z13,X15,Y15,Z15,X22,Y22,Z22,X23,Y23,Z23,X26,Y26,Z26,X28,Y28,Z28,X33,Y33,Z33,X35,Y35,Z35,X40,Y40,Z40,X41,Y41,Z41
0.108,944.15454,-857.52228,1355.12476,872.56537,-1069.78711,1400.95068,889.14423,-704.94153,1408.31189,813.5567,-1125.03699,1055.12366,978.61536,-1158.94263,895.53906,808.35175,-621.3324,1060.46997,965.40906,-575.14862,926.99023,858.61615,-1045.26294,971.76208,840.59485,-693.37836,967.74188,858.02972,-904.35291,463.1777,717.74323,-954.19513,105.922,881.58521,-827.81677,476.16125,758.71887,-763.68842,115.02283,924.96191,-873.87073,1676.25562,849.6055,-869.32065,969.75198
0.112,943.33832,-858.26172,1355.15857,871.97943,-1070.52222,1400.98816,888.17743,-705.68311,1408.40198,814.17871,-1126.28308,1055.08337,979.68207,-1159.45618,895.92529,807.46704,-622.10315,1060.61182,964.53162,-575.58167,927.42908,857.6438,-1045.97107,971.85846,839.80554,-694.15674,967.82672,857.68805,-904.74329,463.37515,717.74255,-954.31262,105.88645,881.34192,-828.22223,476.15509,758.75092,-763.70264,115.09456,923.61768,-874.70746,1676.42847,848.72467,-870.063905,969.84259
0.116,942.49994,-859.0072,1355.17529,871.37311,-1071.24243,1401.04248,887.22095,-706.43646,1408.49634,814.83679,-1127.62817,1055.04272,980.78955,-1159.97534,896.3584,806.60327,-622.86316,1060.7876,963.70654,-576.01996,927.91852,856.70227,-1046.66296,971.97552,838.99792,-694.93323,967.92639,857.34576,-905.11975,463.58469,717.75177,-954.39117,105.8517,881.07672,-828.63055,476.13943,758.78052,-763.71368,115.16041,922.25989,-875.54974,1676.60706,847.850095,-870.798095,969.950955
0.12,941.6452,-859.75537,1355.18103,870.75098,-1071.94934,1401.11243,886.27612,-707.20178,1408.59106,815.5163,-1129.06128,1055.01416,981.92065,-1160.51892,896.8255,805.74304,-623.61377,1060.9967,962.93439,-576.46136,928.45258,855.79962,-1047.33972,972.11151,838.17169,-695.71149,968.04236,856.9964,-905.48535,463.7963,717.76807,-954.43372,105.81757,880.79614,-829.03326,476.12494,758.80743,-763.72339,115.21825,920.88519,-876.39618,1676.78223,846.985655,-871.525605,970.076935
0.124,940.78595,-860.50366,1355.18494,870.11603,-1072.64758,1401.19312,885.34491,-707.97839,1408.6842,816.19696,-1130.56165,1055.00964,983.06049,-1161.09827,897.31543,804.87866,-624.3526,1061.23535,962.21649,-576.9043,929.02728,854.9397,-1048.00415,972.26392,837.3269,-696.49542,968.17676,856.62994,-905.84052,463.99832,717.78925,-954.4444,105.78298,880.50476,-829.42444,476.12399,758.83191,-763.73395,115.2668,919.49213,-877.24542,1676.9458,846.1333,-872.249785,970.22034
0.128,939.93365,-861.25031,1355.19507,869.4715,-1073.34216,1401.27893,884.42834,-708.7663,1408.77466,816.85913,-1132.09314,1055.03101,984.20502,-1161.70886,897.82654,804.00861,-625.07385,1061.49805,961.5545,-577.34784,929.64246,854.1217,-1048.66248,972.42963,836.46173,-697.2876,968.32898,856.23328,-906.18518,464.17798,717.8139,-954.42853,105.74625,880.20453,-829.80267,476.14584,758.85425,-763.74756,115.30586,918.08075,-878.09723,1677.09253,845.291715,-872.97504,970.379305
0.132,939.09625,-861.9942,1355.21606,868.82385,-1074.03589,1401.36694,883.52466,-709.56696,1408.86121,817.49371,-1133.61011,1055.06555,985.36176,-1162.32874,898.36688,803.12805,-625.76996,1061.77966,960.95013,-577.79138,930.30084,853.34039,-1049.32178,972.60474,835.57416,-698.09021,968.49457,855.79224,-906.52338,464.3208,717.84082,-954.39215,105.70566,879.89423,-830.17175,476.19415,758.87482,-763.76636,115.33643,916.65173,-878.95288,1677.22131,844.457275,-873.705995,970.549655
0.136,938.27753,-862.73376,1355.24878,868.18164,-1074.72925,1401.45703,882.63049,-710.38147,1408.94336,818.10077,-1135.07861,1055.09753,986.54352,-1162.92932,898.94873,802.22687,-626.43188,1062.07581,960.40466,-578.23419,931.00464,852.58698,-1049.98901,972.78485,834.66333,-698.90576,968.66547,855.29633,-906.86212,464.41718,717.86877,-954.34149,105.65976,879.57092,-830.53918,476.26788,758.89349,-763.79242,115.36041,915.20612,-879.81329,1677.33423,843.625155,-874.447385,970.72516
0.14,937.47662,-863.46747,1355.29236,867.55151,-1075.42346,1401.55017,881.74371,-711.2077,1409.02075,818.68091,-1136.49146,1055.1217,987.75568,-1163.49109,899.5799,801.2951,-627.04987,1062.38147,959.91833,-578.67554,931.75439,851.85077,-1050.6709,972.96509,833.72864,-699.73608,968.83105,854.74481,-907.20569,464.4736,717.8963,-954.28278,105.60751,879.23108,-830.91431,476.36261,758.90997,-763.82733,115.3801,913.74457,-880.67804,1677.43481,842.789705,-875.20349,970.89807
0.144,936.68848,-864.19507,1355.34399,866.93579,-1076.12244,1401.64758,880.8634,-712.03973,1409.09302,819.23376,-1137.86499,1055.14514,988.98865,-1164.01428,900.25696,800.32794,-627.61707,1062.69141,959.49133,-579.11469,932.55127,851.11871,-1051.3739,973.13782,832.76923,-700.58081,968.98163,854.14594,-907.55237,464.51318,717.92145,-954.22278,105.54826,878.87103,-831.30682,476.47122,758.92358,-763.87244,115.39783,912.2688,-881.54602,1677.52856,841.94397,-875.977355,971.059725
