time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
92,70.41036111191364,112.7848705290692,85.7111016093218,123.33094130716151,72.3620198808487,123.95662922256054,75.43754107576981,143.93965721507593,72.64835851633461,147.7400055365074,99.50436836373609,122.74170203955909,114.14373615984196,144.43292710186986,115.15117286003364,169.46553367723902,89.20632923050556,168.08887588592256,89.05688499315326,194.13470648044614,98.27094801222498,219.03535317471966,107.07750935935884,164.57214651920543,114.05479977942774,195.15629105635634,124.96310764568304,220.27711980362108,67.82693838123298,107.08048923984144,73.67375124704385,106.87989758000356,2.508161339096732,4.343236754109088,84.69878148334556,104.8023133309638
93,68.73957137372446,112.90802566406056,84.2862386916232,123.45707046584812,70.9929117244209,124.18677198018156,74.32091050496624,144.2198521028803,70.73431924694181,146.57925076157633,98.08667285478388,122.72969733805002,113.52643244915745,144.3357755169555,114.84363851499752,169.4966857923382,88.27285051103507,168.38820879728098,88.69753491736046,194.7490230509863,97.8351392492403,219.32907990806532,106.2388909918382,164.70218841196078,113.28912900100929,195.19162020879656,124.58148672183154,220.17098834492,66.26733148720284,107.2014224536414,72.0652036944981,106.94185298750216,3.355000922353233,6.469535263665596,83.18953830265019,104.87717780768423
94,67.15371526475953,113.03891913561444,82.87526386154698,123.57997593348875,69.60246053214725,124.39877238333125,73.18645803165536,144.52462209345728,69.20682722577233,146.3095988020595,96.65774990741396,122.73626588941144,112.87040126627583,144.2752967430588,114.59274113220603,169.51759288984422,87.3243129885051,168.65632952684112,88.38820725331225,195.30896580061153,97.53164812775188,219.56041286492447,105.36237109587796,164.852645279078,112.43011758448978,195.2336572199673,124.04608022191034,220.09897414236258,64.78446715808064,107.37053507499334,70.58699143037295,107.02739006742837,4.691222414862438,9.561114277669905,81.77237893282616,104.9501397253554
95,65.71304145732456,113.18516607913789,81.52753497206717,123.71058244505367,68.22733899239635,124.60076783231806,72.07650398271443,144.84512289240755,68.20259686754672,147.1016799987991,95.26348009925508,122.78095226012151,112.18570656803395,144.27729074487658,114.38930972353431,169.53896098642494,86.36397797452364,168.9009705339154,88.11294826322704,195.8102943577492,97.33302732161135,219.72147612485625,104.4542220739163,165.04103646906498,111.49641219263705,195.30947777161313,123.33533440475021,220.09023658793325,63.42935475918758,107.59689279931999,69.28401092216428,107.14611985724792,6.551276110790058,13.681644788155172,80.49645472658565,105.03159303092447
96,64.46838973378557,113.34546651923955,80.28230161604536,123.8535157197773,66.89956441024924,124.79649279392389,71.01538123891838,145.16797985137765,67.68947330872244,148.79112334827585,93.94380009777176,122.87564952128375,111.48615033750858,144.36210487101857,114.22327277669024,169.57056703218183,85.39829202548432,169.12909148960904,87.85421119621668,196.2529885694181,97.20987579537714,219.80746033567172,103.52363852893822,165.27971736426025,110.51716693896844,195.43826175023926,122.43537398687184,220.17246631735873,62.244239125317314,107.88314627805987,68.18899830722741,107.30389280550155,8.932278520503782,18.818854039890812,79.39688129442524,105.12700778657819
97,63.45562059520126,113.51494818409572,79.16678180116325,124.00820494247988,65.64905582030836,124.98447521902472,70.01232615822909,145.48053728837988,67.52675516950693,151.02682971422777,92.73598747008148,123.02206002757647,110.78951222588553,144.54350009588995,114.08371500930622,169.62050794769124,84.44016895609398,169.34403441093065,87.59386225687585,196.6358893651027,97.13247373277576,219.8181012038643,102.58680031264602,165.5695771245755,109.52930592360646,195.62572613895148,121.34486609014395,220.37180007319483,61.25694385532977,108.2244806271525,67.3240490733875,107.50255263791792,11.780003269774861,24.85351369808618,78.49340224731459,105.23833635953159
98,62.69235441438705,113.6888104476416,78.19823411748966,124.17100719569386,64.50536369788976,125.15885678926006,69.06952266427908,145.77335691625393,67.57077683874935,153.4851294627574,91.67520359217741,123.21304424666374,110.11634670714935,144.82850068917259,113.9592141556874,169.69549907106096,83.51016933153255,169.5471646132333,87.31302437545233,196.95772674742346,97.07184614995735,219.75921918133577,101.66942106057134,165.9036467428391,108.5718139034233,195.86470432336313,120.07912389872223,220.70499416615004,60.47985440453352,108.60922947231845,66.7006211388795,107.7408926098689,14.971138896319227,31.52116798572038,77.79301401411719,105.36647756043764
99,62.17840608158134,113.86427072089957,77.38828088283657,124.33684736968445,63.49616574547159,125.31234105201493,68.18856274458614,146.04061948586272,67.71599866156672,155.93039919732942,90.79093962893452,123.43789719707847,109.48981338012602,145.21815666252928,113.8399798463795,169.80219566316694,82.63284731819724,169.74116407834606,86.99083857737033,197.22074657549234,97.00046511396266,219.64374510878667,100.80344751884317,166.27681616408424,107.67891442644125,196.14349418679444,118.6728661108414,221.17134514099496,59.911759914525895,109.02220788414434,66.31518936459156,108.01631330869812,18.292289134562154,38.36764469724907,77.29327758335187,105.51261008112868
100,61.896151670558325,114.041383420818,76.74571416791753,124.5008352949433,62.642822866602735,125.44081726947157,67.37521419492391,146.283374554707,67.89400407445741,158.20708869342764,90.10185784966734,123.68688120113488,108.93474815900727,145.7086529876426,113.72029541309504,169.94837434788812,81.82969759069368,169.93063183713787,86.60385000452084,197.43155128410282,96.89283966897295,219.4937560982423,100.0193415740607,166.6897983766239,106.87521484391971,196.45224745358942,117.18148092560517,221.75134600999388,59.539251267992,109.44824199996111,66.14372047443639,108.3246122452117,21.441393527056835,44.75232827149003,76.9842437075751,105.67780587843063
101,61.812452060585855,114.2206573042083,76.27559795789573,124.6602851427476,61.95657064984276,125.54708113230751,66.64096334426723,146.51131903169886,68.06397133519755,160.22887886098988,89.61320075316637,123.95239288834658,108.47312662843852,146.29053749546668,113.59938350359708,170.14272802018905,81.11487305008336,170.11950863622602,86.12681249103072,197.59960788530495,96.72560003105157,219.34177948821647,99.33960627796196,167.14357179784446,106.17425278543138,196.7830701006518,115.67677024774821,222.41091494144842,59.33777876711951,109.87175858243836,66.1447173990441,108.65679783670852,24.102525929578686,50.00677696674762,76.84899139257143,105.86201889258437
