,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5
22,-428.855,-266.491,1166.625,-70.446,-110.295,666.57,-33.42,-108.565,656.115,-17.355,-38.742,659.94,-4.399,18.218,697.17,-111.637,-113.207,684.165,-134.929,-57.623,740.01,-100.688,-34.036,712.725,-61.843,6.956,714.765,-40.378,5.007,715.785,-21.211,71.88,806.565,-35.228,170.164,881.025,-88.37,7.043,723.69,-80.356,95.203,780.555,-68.454,198.06,817.02,-353.368,-307.826,1490.475,-869.259,-361.506,812.94,-51.724,-163.836,684.42,-89.604,-159.668,680.531,-63.382,203.315,838.695,-75.927,196.483,801.465,-70.603,206.748,816,-4.017,171.418,913.41,-6.449,177.021,903.72,-47.055,178.926,876.69,
23,-410.732,-275.053,1204.11,-71.093,-113.149,672.69,-33.744,-111.434,662.49,-17.516,-39.101,666.06,-6.517,17.613,698.275,-110.664,-117.911,689.775,-132.231,-62.312,747.66,-96.89,-37.979,713.49,-62.527,3.076,722.67,-42.729,3.075,722.415,-23.567,67.891,811.665,-35.83,165.711,896.07,-89.522,3.121,733.125,-78.807,91.613,786.42,-69.698,190.868,805.545,-326.282,-313.344,1487.67,-869.259,-361.506,812.94,-52.07,-166.82,689.01,-89.195,-161.962,684.42,-63.806,202.363,844.305,-73.756,192.156,801.72,-70.139,200.953,810.645,-4.06,165.656,923.1,-6.516,171.37,913.155,-47.753,174.274,889.695,
24,-413.531,-304.699,1318.095,-69.934,-116.124,679.32,-34.095,-114.424,669.375,-19.465,-41.191,670.395,-8.634,17.009,699.38,-110.103,-121.261,698.19,-131.827,-65.171,757.095,-95.717,-42.23,719.355,-63.145,1.109,729.81,-43.106,-0.888,728.79,-26.032,66.288,819.315,-35.891,161.079,897.6,-90.425,1.125,740.52,-79.472,88.043,793.05,-69.698,186.458,805.545,-299.196,-318.862,1484.865,-869.259,-361.506,812.94,-50.611,-170.143,694.875,-86.834,-162.92,680.595,-63.864,197.92,845.07,-73.639,187.469,800.445,-70.161,196.577,810.9,-4.099,162.154,932.025,-6.567,167.672,920.295,-47.999,170.277,894.285,
25,-410.397,-328.16,1419.585,-68.765,-119.179,686.205,-34.42,-117.364,675.75,-19.636,-43.402,676.26,-10.751,16.405,700.485,-109.258,-124.387,705.075,-131.24,-70.109,765.765,-94.479,-46.528,724.965,-63.807,-2.917,737.46,-43.574,-2.914,736.695,-28.68,64.962,831.045,-38.054,157.406,890.715,-89.524,-2.966,749.955,-78.245,84.724,802.74,-69.985,180.582,808.86,-274.052,-322.039,1480.785,-869.259,-361.506,812.94,-47.288,-171.891,702.015,-86.849,-168.426,695.64,-62.702,194.553,860.88,-69.919,182.624,808.095,-69.852,189.081,807.33,-6.662,157.309,933.555,-6.591,163.219,923.61,-48.067,168.068,895.56,
26,-404.555,-357.813,1529.745,-69.429,-122.228,692.835,-32.926,-120.518,683.145,-21.698,-45.697,682.89,-12.798,14.635,707.625,-108.298,-127.459,711.45,-130.649,-73.047,774.69,-93.275,-50.924,731.085,-66.486,-4.985,744.855,-45.922,-4.966,742.05,-31.297,65.68,840.225,-38.196,155.544,894.03,-90.681,-7.164,759.645,-76.821,81.146,810.9,-70.029,174.049,809.37,-249.773,-326.149,1481.04,-869.259,-361.506,812.94,-45.531,-174.444,704.565,-84.929,-172.319,703.673,-63.074,190.964,865.98,-67.92,178.762,810.645,-71.812,181.817,804.525,-6.687,155.346,937.125,-6.609,161.134,926.16,-48.136,165.852,896.835,
27,-355.343,-342.663,1464.975,-68.104,-125.175,698.7,-33.123,-121.238,687.225,-21.876,-46.073,688.5,-14.926,12.863,716.805,-105.189,-132.343,716.805,-130.009,-78.179,783.615,-92.356,-53.553,739.755,-67.146,-7.094,752.25,-46.38,-7.068,749.445,-33.831,63.822,846.09,-37.88,151.83,886.635,-92.416,-9.42,774.18,-77.98,77.864,823.14,-70.492,168.51,814.725,-224.438,-328.725,1474.41,-869.259,-361.506,812.94,-44.297,-177.222,715.785,-83.01,-176.212,711.705,-61.418,186.018,876.18,-66.92,175.299,825.69,-72.176,176.098,808.605,-6.647,151.866,931.515,-6.618,158.817,927.435,-50.188,162.096,889.695,
28,-323.542,-346.975,1466.25,-66.795,-128.247,705.075,-31.555,-124.353,694.11,-23.989,-48.419,695.13,-16.991,10.966,721.14,-104.329,-135.739,724.455,-129.986,-81.657,796.62,-90.581,-57.762,741.795,-67.578,-11.285,757.095,-46.711,-9.184,754.8,-34.056,64.245,851.7,-38.305,151.079,896.58,-92.629,-13.69,775.965,-77.228,72.514,839.46,-70.757,160.188,817.785,-186.663,-289.84,1288.77,-869.259,-361.506,812.94,-42.518,-179.947,718.845,-80.991,-177.999,711.068,-59.982,181.737,890.46,-66.251,174.603,863.048,-73.064,169.301,818.55,-6.785,152.422,950.895,-6.623,156.407,928.2,-50.274,159.935,891.225,
29,-291.684,-347.277,1467.525,-65.194,-130.836,708.645,-31.728,-126.948,697.935,-24.236,-50.839,702.27,-19.132,9.072,727.515,-103.21,-138.885,730.575,-128.665,-86.597,801.975,-88.976,-60.08,745.365,-67.943,-13.429,761.175,-46.964,-11.311,758.88,-36.289,64.072,849.405,-40.585,150.434,892.755,-93.268,-18.062,781.32,-75.568,68.495,846.6,-71.75,155.626,829.26,-148.888,-250.956,1103.13,-869.259,-361.506,812.94,-40.881,-181.416,724.71,-78.971,-179.786,710.43,-57.577,174.524,890.97,-65.581,173.907,900.405,-75.094,162.123,816.255,-6.703,150.583,939.42,-6.643,156.88,931.005,-50.274,159.935,891.225,
30,-263.426,-347.096,1466.76,-63.732,-133.78,714,-31.983,-129.895,703.545,-26.291,-53.03,705.84,-21.479,7.199,739.755,-102.023,-142.016,736.44,-128.118,-89.95,812.43,-87.501,-62.524,750.21,-70.589,-17.738,767.295,-49.42,-13.492,764.745,-36.158,61.524,846.345,-40.585,150.434,892.755,-94.06,-20.373,787.95,-76.342,62.173,855.27,-73.383,145.284,822.12,-111.114,-212.071,917.49,-869.259,-361.506,812.94,-39.281,-185.206,731.85,-77.263,-182.71,716.186,-57.363,166.585,887.655,-63.277,166.937,902.7,-76.571,156.2,832.32,-6.641,150.434,930.622,-7.937,157.202,932.918,-50.447,160.485,894.285,
31,-238.835,-350.379,1463.7,-64.483,-137.334,722.415,-32.157,-130.601,707.37,-26.529,-57.408,712.215,-23.302,3.77,753.44,-100.699,-145.03,741.54,-126.368,-94.753,815.49,-85.97,-64.973,754.8,-70.988,-19.951,771.63,-49.634,-15.653,768.06,-36.137,61.487,845.835,-40.782,151.165,897.09,-94.638,-24.838,792.795,-74.905,58.193,865.725,-75.659,140.509,847.62,-73.339,-173.186,731.85,-869.259,-361.506,812.94,-35.888,-188.433,744.6,-75.554,-185.635,721.941,-57.544,159.798,890.46,-62.83,158.397,896.325,-80.009,149.249,844.56,-6.578,150.286,921.825,-9.23,157.524,934.83,-50.505,160.668,895.305,
